Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context
io,distinguished,no,reset the io functions of the card,initialize all the distinguished functions of the card
buffer,element,no,next buffer in chain,next element in chain,rx buffer too small,rx element too small
mac_sys_ctrl,wpi_hw_if_config,identifier,possible flags for register mac_sys_ctrl,possible flags for register wpi_hw_if_config
iwn_fh_rx_status,zyd_fw_link_status,identifier,possible flags for register iwn_fh_rx_status,possible flags for register zyd_fw_link_status
int_t,strtoq,identifier,define to if you have the `int_t function,define to if you have the `strtoq function
disable,clear,related,disable all interrupt sources,clear all gpio interrupt sources,disable all interrupt sources,clear all gpio interrupt sources,clear the watchdog timer,disable the watchdog timer,and disable all interrupts,mask and clear all interrupts
clock,power,related,disable internal dac clock,disable internal dac power
issetugid,kernel_genfs_mmap,no,define to if you have the `issetugid function,define to if you have the `kernel_genfs_mmap function
stop,reset,related,0.775,2,stop block ack inactivity timer,reset block ack inactivity timer,stop the command processor,reset the command processor
strvisx,ubc_pushdirty,no,define if the system is missing a prototype for strvisx,define if the system is missing a prototype for ubc_pushdirty
read,squeeze,no,read in the header,squeeze in the mobility header
recv,xmit,related,recv clock taken from dpll,xmit clock taken from dpll,xmit clock taken from brg,recv clock taken from brg,channel b xmit int pending,channel b recv int pending,number of entries in the recv desc ring,number of entries in the xmit desc ring,enable xmit crc calculation,enable recv crc calculation,channel a recv int pending,channel a xmit int pending,xmit buffer alias for data,recv buffer alias for data
u_int_t,kernel_vfs_register,no,define to if you have the `u_int_t function,define to if you have the `kernel_vfs_register function
glass,grossmann,no,copyright c adam glass all rights reserved,copyright c rolf grossmann all rights reserved
once,check,no,once the command completed,check the previous command is completed
kernel_nosys,kernel_vfs_deallocate_syncvnode,no,define to if you have the `kernel_nosys function,define to if you have the `kernel_vfs_deallocate_syncvnode function
timer,rx_free_list,no,move it to timer,then move it to rx_free_list
verr,sendmsg,no,define if you have the function `verr,define if you have the function `sendmsg
iwi_cmd_set_rates,wpi_cmd_associate,no,structure for command iwi_cmd_set_rates,structure for command wpi_cmd_associate
getspnam,kernel_cdevsw_add,no,define to if you have the `getspnam function,define to if you have the `kernel_cdevsw_add function
xed,xee,0.732142857142857,2,remarks handles opcode xed,remarks handles opcode xee,xed latin small letter i with acute,xee latin small letter i with circumflex
`asprintf,`setattrlist,0.875,1,define to if you have the `asprintf function,define to if you have the `setattrlist function
tbtt_sync_cfg,iwn_gio_chicken,0.8,1,possible flags for register tbtt_sync_cfg,possible flags for register iwn_gio_chicken
ar,package,0.75,1,special case for ar,special case for package
delete,insert,antonym,compute the timeout hash value and delete the entry,compute the timeout hash value and insert the entry,insert forwarding cache entry,delete forwarding cache entry
wcid_attr,iwn_reset,0.8,1,possible flags for register wcid_attr,possible flags for register iwn_reset
personality,ptrace,0.816666666666667,2,syscall personality ret int args int,syscall ptrace ret int args int pid_t caddr_t int,syscall ptrace ret int args,syscall personality ret int args int
`getfh,`kernel_vfs_getvfs,0.875,1,define to if you have the `getfh function,define to if you have the `kernel_vfs_getvfs function
mlockall,ptrace,0.811111111111111,3,syscall mlockall ret int args int,syscall ptrace ret int args int pid_t caddr_t int,syscall ptrace ret int args,syscall mlockall ret int args int,syscall ptrace ret int args,syscall mlockall ret int args
h_nerr,hstrerror,identifier,define if you have the `h_nerr variable,define to if you have the `hstrerror function
primary,second,related,maps to the primary copy of the data,maps to the second copy of the mirror pair,maps to the primary copy of the data,maps to the second copy of the mirror pair
__progname,kernel_vfs_register,no,define if you have the `__progname variable,define to if you have the `kernel_vfs_register function
contigous,contiguous,related,allocate contigous free clusters,allocate contiguous free clusters
setenv,snprintf,no,define if the system is missing a prototype for setenv,define if the system is missing a prototype for snprintf
kernel_sys_nosys,kernel_vfs_add_vnodeops,no,define to if you have the `kernel_sys_nosys function,define to if you have the `kernel_vfs_add_vnodeops function
csr,iwn_fh_rx_status,no,possible flags for register csr,possible flags for register iwn_fh_rx_status
ifp,uobjpage,no,if ifp is null,if uobjpage is null
sc_pgid,tun_pgid,identifier,uid for process that set sc_pgid,uid for process that set tun_pgid,euid for process that set sc_pgid,euid for process that set tun_pgid
gtty,init_module,no,syscall gtty ret int args,syscall init_module ret int args
crypt,strvis,no,define to if you have the `crypt function,define to if you have the `strvis function
pseudo-isa,isa-compatible,related,run in pseudo-isa mode,run in isa-compatible mode only using a
below,ifaltq,no,xxx keep in sync with switch below,xxx keep in sync with struct ifaltq
miff_,viff_,no,miff_ flags defined above,viff_ flags defined above
node,entry,related,information for this node,no mpls information for this entry
pci,cardbus,related,pci bus front-end for the admtek adm macbbp chip,cardbus bus front-end for the admtek adm macbbp driver,com pci chip device ids,com cardbus chip device ids,we need to access pci config space from the driver,we need to access cardbus config space from the driver,set pci latency timer,set cardbus latency timer,pci front-end for the broadcom airforce,cardbus front-end for the broadcom airforce,enable the appropriate bits in the pci csr,enable the appropriate bits in the cardbus csr,enable the appropriate bits in the pci csr,enable the appropriate bits in the cardbus csr,pci mem space tag,cardbus mem space tag,pci mem space tag,cardbus mem space tag,pci front-end for the prismgt,cardbus front-end for the prismgt,pci io space tag,cardbus io space tag,pci io space tag,cardbus io space tag,pci front-end for the acx,cardbus front-end for the texas instruments acx driver,pci front-end for the realtek,cardbus front-end for the realtek rtl macbbp driver,pci front-end for the realtek,cardbus front-end for the realtek
sii,lance,no,while the sii does level interrupts,while the lance does level interrupts
adb,pramrtc,no,its from the adb device or,its from the pramrtc device
bool,kernel_lockmgr,no,define to if you have the `bool function,define to if you have the `kernel_lockmgr function
