Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,part,identifier,inputstream is p getinputstream,inputstream is part getinputstream
network_mask,broadcast_address,identifier,public static string network_mask,public static string broadcast_address
ip,mac,related,see if line contains ip address,see if line contains mac address
createjpegencoderbaos,createjpegencoderoutput,identifier,jpegimageencoder encoder jpegcodec createjpegencoderbaos,jpegimageencoder encoder jpegcodec createjpegencoderoutput
annie,mpannie,no,annie lennox - little bird mp,mpannie lennox - little bird mp
thumbnail_width,initial_string_buffer_size,no,public static int thumbnail_width,public static final int initial_string_buffer_size
fullscreen_width,initial_string_buffer_size,no,public static int fullscreen_width,public static final int initial_string_buffer_size
phototext,lineoftext,identifier,string phototext bufreader readline,string lineoftext bufreader readline
tivo_port,low_frequency_delay,no,public static int tivo_port,public static int low_frequency_delay
thumbnail_width,high_frequency_period,no,public static int thumbnail_width,public static int high_frequency_period
decimal,alphabetical,related,find key for sorting by decimal value,find key for sorting by alphabetical value
month,surname,related,find key for sorting by month,find key for sorting by surname
mp,image,related,background thread to organize mp files,background thread to organize image files,utility class to track mp tags,utility class to track image tags,collect all mp files,collect all image files
year,surname,related,find key for sorting by year,find key for sorting by surname
jpg,internet,no,proxy class to load jpg images,proxy class to load internet images
titleweather,titlemovies,identifier,reload statenh titleweather zip,reload searchradius statenh titlemovies zip
decade,surname,related,find key for sorting by decade,find key for sorting by surname
multipartp,multipartpart,identifier,multipart mp multipartp getcontent,multipart mp multipartpart getcontent
thumbnail_width,intermediate_thumbnail_width,identifier,public static int thumbnail_width,public static int intermediate_thumbnail_width
thumbnail_height,fullscreen_width,identifier,public static int thumbnail_height,public static int fullscreen_width
photosfilename,albumdbfilename,identifier,string photosfilename directory + file separator + photos dat,string albumdbfilename directory + file separator + albumdb dat
playlist,container,related,interface to represent a playlist of audio files,interface to represent a container of image files
precede,follow,antonym,the items immediately preceding the anchor are described,the items immediately following the anchor are described
thumbnail_height,intermediate_thumbnail_height,identifier,public static int thumbnail_height,public static int intermediate_thumbnail_height
photos,albumdb,related,if log isdebugenabled log debugbefore matching photos dat,if log isdebugenabled log debugbefore matching albumdb dat,string photosfilename directory + file separator + photos dat,string albumdbfilename directory + file separator + albumdb dat
warning,error,related,receive notification of a parser warning,receive notification of a recoverable parser error
url,file,related,proxy class to load mp urls,proxy class to load mp files
class,servlet,no,0.714285714285714,2,main class to handle incoming tivo requests,main servlet to handle all tivo streaming requests,main servlet to handle all tivo requests,main class to handle incoming tivo requests
albumfilename,albumdbfilename,identifier,string albumfilename directory + file separator + album dat,string albumdbfilename directory + file separator + albumdb dat
required,non-required,antonym,check for required attributes,check for non-required attributes
organizer,files,related,container for audio organizer,container for listing audio files
thumbnail_width,thumbnail_height,identifier,public static int thumbnail_width,public static int thumbnail_height
playlist,containercollection,identifier,interface to represent a playlist of audio files,base container interface to represent a containercollection of media files
file,folder,related,when paging through a big list of files,when paging through a big list of folders,when paging through a big list of files,or if paging through a big list of folders
textvaluecolor,textlabelcolor,identifier,color textvaluecolor new color,color textlabelcolor new color
end,front,near antonym,1,itemstart has wrapped past the end of the list,itemstart has wrapped past the front of the list
month,decade,related,find key for sorting by month,find key for sorting by decade
surname,duration,related,find key for sorting by surname,find key for sorting by duration
date,title,related,comparator that sorts by date,comparator that sorts by title
album,albumdb,related,string albumfilename directory + file separator + album dat,string albumdbfilename directory + file separator + albumdb dat
mp,audio,related,proxy class to load mp files,proxy class to load audio files
