Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context
pool,file,related,apr bucket pool make,apr bucket file make,file bucket destroy,pool bucket destroy,apr pool owner set,apr file inherit set,apr file inherit set,apr pool userdata set,apr os file get,apr foo pool get
get,discard,related,ap get request note,ap discard request body
mutex,rwlock,no,thread mutex cleanup,thread rwlock cleanup,apr thread mutex destroy,apr thread rwlock destroy,apr proc mutex destroy,apr thread rwlock destroy
string,pollset,no,string cleanup,pollset cleanup
atomic,checker,no,atomic cleanup,checker cleanup
pool,info,no,apr foo pool get,apr sockaddr info get
show,display,synonym,show info,display info
reslist,pollset,apr reslist create,apr pollset create,apr reslist create,apr pollset create ex
dso,mmap,no,dso cleanup,mmap cleanup
cond,once,no,thread cond cleanup,thread once cleanup
io,util,related,ssl io filter cleanup,ssl util thread cleanup
reslist,pollcb,no,apr reslist create,apr pollcb create ex,apr pollcb create,apr reslist create
smmem,getopt,no,apr smmem init,apr getopt init
Start,Control,no,Start Service,Control Service
lock,defname,no,apr thread mutex lock,apr proc mutex defname
to,from,antonym,ajp xlate to ascii,ajp xlate from ascii,ap xlate proto to ascii,ap xlate proto from ascii
hash,compare,no,util ldap search node hash,util ldap url node compare,util ldap search node hash,util ldap compare node compare
proc,global,no,apr proc mutex destroy,apr global mutex create,apr proc mutex defname,apr global mutex create,apr proc mutex create,apr global mutex create,proc mutex cleanup,global mutex cleanup
get,register,related,ap get request note,ap register request note
file,alloc,no,file cleanup,alloc cleanup
Value,Section,no,Xml Entity Value Tok,Xml Ignore Section Tok,Xml Ignore Section Tok,Xml Attribute Value Tok,Xml Entity Value Tok,Xml Cdata Section Tok,Xml Cdata Section Tok,Xml Attribute Value Tok
pollset,checker,no,pollset cleanup,checker cleanup
file,brigade,no,file cleanup,brigade cleanup,apr file cleanup,apr brigade cleanup
read,close,near antonym,read connection,close connection
shm,filter,no,shm cleanup,filter cleanup
dir,database,no,dir cleanup,database cleanup
eos,pipe,no,apr bucket eos make,apr bucket pipe make
out,insert,no,xlate out filter,xlate insert filter
atomic,database,no,atomic cleanup,database cleanup
regkey,socket,no,regkey cleanup,socket cleanup
cb,version,no,ap down server cb,ap get server version
dso,string,no,dso cleanup,string cleanup
foo,sockaddr,no,apr foo pool get,apr sockaddr info get
pool,pollset,apr pool create ex,apr pollset create ex,apr pollset create,apr pool create core,apr pool create,apr pollset create,apr pool create ex,apr pollset create,apr pollset create ex,apr pool create unmanaged,apr pool create core,apr pollset create ex,apr pool destroy,apr pollset destroy
hash,table,related,apr hash do,apr table do
