Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context
inl,readq,no,sn inl,sn readq,ia inl,ia readq
sdi,zlib,no,sdi exit,zlib exit
kbd,guillemot,no,kbd disconnect,guillemot disconnect
pmem,uinput,no,pmem ioctl,uinput ioctl
cas,guillemot,no,cas poll,guillemot poll
wanxl,pegasus,no,wanxl ioctl,pegasus ioctl
down,update,near antonym,nfsd mark cb down,nfsd process cb update,notify down,notify update
emit,parse,near antonym,r cs id emit,r cs packet parse
proc,bnxfc,no,proc match,bnxfc match
do,link,related,do interrupt,link interrupt
chipsel,initialsetup,no,scxx spi chipsel,scxx spi initialsetup
opl,srpc,no,opl detect,srpc detect
wan,pvscsi,no,wan shutdown,pvscsi shutdown
kbd,ack,no,kbd flush,ack flush
ppp,clip,no,ppp ioctl,clip ioctl,ppp push,clip push
readb,blank,no,cyberfb readb,cyberfb blank
plat,iommu,no,plat dma supported,iommu dma supported
hw,slot,no,ide init port hw,ide free port slot,ide init port hw,ide find port slot,ca get slot info,anysee get hw info,menelaus set vcore hw,menelaus set mmc slot
free,reset,related,twl free device extension,twl reset device extension,tlan free lists,tlan reset lists,free ports,reset ports,z comp free,z comp reset,tty free termios,tty reset termios,snd es free,snd es reset,t free qset,t reset qset,net free,net reset,snd gf uart reset,snd mpu uart free,free etd,reset etd,uvesafb free,uvesafb reset,azx free,azx reset,e free,e reset,llc sk free,llc sk reset,brcms free,brcms reset,fc exch mgr free,fc exch mgr reset,snd pmac dbdma free,snd pmac dbdma reset,free cmb,reset cmb,slic cmdq free,slic cmdq reset,pm free,pm reset,mgsl reset rx dma buffers,mgsl free rx frame buffers,snd hdspm free,snd hdspm reset,rndis free response,rndis reset response,ep free,ep reset,mem cgroup free,mem cgroup reset,snd pcm free,snd pcm reset,il rx queue reset,ipw rx queue free,snd vt chip reset,snd mixart chip free,snd rme free,snd rme reset,ipath free qp,ipath reset qp,twa free device extension,twa reset device extension,m free,m reset,sis free,sis reset,sis free phy,sis reset phy,scratch free,scratch reset,snd csxx free,snd csxx reset,z decomp free,z decomp reset,stub device free,stub device reset,free node,reset node,rx free buffers,rx reset buffers,free sa dir,reset sa dir,free cmbe,reset cmbe,free channel,reset channel,free rbufs,reset rbufs,snd pcm oss reset,snd mixer oss free,pcol free,pcol reset,sa free dma,sa reset dma,tw free device extension,tw reset device extension,q free,q reset,ipr free cmd blks,ipr reset cmd failed,free voice,reset voice,snd cs free,snd cs reset,ipr free ucode buffer,ipr reset ucode download,snd hda codec free,snd csxx codec reset,free buf,reset buf,choke free,choke reset,snd ali free,snd ali reset,av ipack free,av ipack reset,snd hdsp free,snd hdsp reset,mxs dma reset chan,pasemi dma free chan,free tbufs,reset tbufs,snd emuk midi free,snd csxx midi reset,snd line midi free,snd csxx midi reset,snd emukx midi free,snd csxx midi reset,snd cs midi reset,snd emuk midi free,snd cs midi reset,snd line midi free,snd cs midi reset,snd emukx midi free,bsd free,bsd reset,snd gf uart reset,snd gf timer free,davinci pcm hw free,davinci pcm period reset,snd es ac reset,snd es dev free,snd es hw free,snd es ac reset,snd es hwv free,snd es ac reset,snd es pcm free,snd es ac reset,snd es reset fifo,snd es free memory,snd es reset fifo,snd es free gameport,snd es reset fifo,snd es free dmabuf,sh eth ring free,sh eth chip reset,sh eth ring free,sh eth nway reset,snd atiixp dev free,snd atiixp aclink reset,ati remote free buffers,ati remote reset resume,snd mpu do reset,snd mpu uart free,fc exch mgr free,fc exch pool reset,fc lport free stats,fc lport reset locked,snd pmac dev free,snd pmac dbdma reset,tce free i series,system reset i series,snd pcm pre reset,snd pcm timer free,snd pcm dev free,snd pcm pre reset,snd pcm hw free,snd pcm pre reset,snd pcm do reset,snd pcm timer free,snd pcm post reset,snd pcm timer free,snd pcm oss reset,snd pcm timer free,snd pcm dev free,snd pcm do reset,snd pcm hw free,snd pcm do reset,snd pcm dev free,snd pcm post reset,snd pcm dev free,snd pcm oss reset,snd pcm hw free,snd pcm post reset,snd pcm hw free,snd pcm oss reset,snd cmipci hw free,snd cmipci ch reset,snd cmipci dev free,snd cmipci ch reset,snd rme reset dac,snd rme free buffers,dwc gadget free endpoints,dwc gadget reset interrupt,snd m dev free,snd m ac reset,snd csxx dev free,snd csxx midi reset,snd csxx dev free,snd csxx codec reset,num free tx dma buffers,mgsl reset tx dma buffers,snd trident dev free,snd trident sis reset,snd trident hw free,snd trident sis reset,tw free device extension,twa reset device extension,tw free device extension,twl reset device extension,twa free device extension,tw reset device extension,twl free device extension,tw reset device extension,twa free device extension,twl reset device extension,twl free device extension,twa reset device extension,snd ymfpci voice free,snd ymfpci aclink reset,snd ymfpci dev free,snd ymfpci aclink reset,pch gbe free irq,pch gbe reset task,snd viaxx dev free,snd viaxx channel reset,snd viaxx hw free,snd viaxx channel reset,snd cs sbus free,snd cs midi reset,snd cs dev free,snd cs midi reset,snd cs hw free,snd cs midi reset,snd cs ebus free,snd cs midi reset,snd vt dev free,snd vt chip reset
port,devices,related,pdc hard reset port,pdc io reset devices,parport p       c unregister port,ide port unregister devices,analog init port,analog init devices,       sas ex disable port,sas ex discover devices
free,close,related,siu pcm free,siu pcm close,jz pcm free,jz pcm close,snd ada free,snd ada close,snd gf pcm playback free,snd gf pcm playback close,davinci pcm free,davinci pcm close,snd btx free,snd btx close,gsm dlci free,gsm dlci close,x asy free,x asy close,snd gf pcm playback free,snd aw pcm playback close,net free,net close,snd wss timer free,snd ada timer close,snd cs timer close,snd wss timer free,snd wss timer free,snd wss timer close,snd pcm timer free,snd ada timer close,snd gf timer free,snd ada timer close,snd cs timer close,snd pcm timer free,snd pcm timer free,snd wss timer close,snd gf timer free,snd cs timer close,snd gf timer free,snd wss timer close,azx pcm free,azx pcm close,e free,e close,iscsit free session,iscsit close session,not configged free,not configged close,s pcm free,s pcm close,port kern free,port kern close,snd mixart free,snd mixart close,pcxhr free,pcxhr close,db free,db close,snd dbri free,snd dbri close,free session,close session,idma free,idma close,ltq dma free,ltq dma close,snd mts rawmidi close,snd usbmidi rawmidi free,ep free,ep close,snd line pcm free,snd emxx pcm close,snd atc pcm close,snd line pcm free,snd line pcm free,snd cxxx pcm close,snd line pcm free,snd vortex pcm close,snd line pcm free,snd sgioaudio pcm close,snd ps pcm close,snd line pcm free,snd usb pcm close,snd line pcm free,snd line pcm free,snd viaxx pcm close,snd line pcm free,snd solo pcm close,snd pd pcm close,snd line pcm free,snd ali pcm free,snd emxx pcm close,snd vx pcm free,snd emxx pcm close,snd emu pcm free,snd emxx pcm close,snd es pcm free,snd emxx pcm close,snd ali pcm free,snd atc pcm close,snd ali pcm free,snd cxxx pcm close,snd ali pcm free,snd vortex pcm close,snd ali pcm free,snd sgioaudio pcm close,snd ps pcm close,snd ali pcm free,snd ali pcm free,snd usb pcm close,snd ali pcm free,snd viaxx pcm close,snd ali pcm free,snd solo pcm close,snd pd pcm close,snd ali pcm free,camelot pcm free,camelot pcm close,snd vx pcm free,snd atc pcm close,snd emu pcm free,snd atc pcm close,snd es pcm free,snd atc pcm close,snd vx pcm free,snd cxxx pcm close,snd emu pcm free,snd cxxx pcm close,snd es pcm free,snd cxxx pcm close,snd vx pcm free,snd vortex pcm close,snd vx pcm free,snd sgioaudio pcm close,snd vx pcm free,snd ps pcm close,snd vx pcm free,snd usb pcm close,snd vx pcm free,snd viaxx pcm close,snd vx pcm free,snd solo pcm close,snd vx pcm free,snd pd pcm close,tegra pcm free,tegra pcm close,snd emu pcm free,snd vortex pcm close,snd es pcm free,snd vortex pcm close,snd emu pcm free,snd sgioaudio pcm close,snd ps pcm close,snd emu pcm free,snd emu pcm free,snd usb pcm close,snd emu pcm free,snd viaxx pcm close,snd emu pcm free,snd solo pcm close,snd pd pcm close,snd emu pcm free,snd es pcm free,snd sgioaudio pcm close,snd es pcm free,snd ps pcm close,snd es pcm free,snd usb pcm close,snd es pcm free,snd viaxx pcm close,snd es pcm free,snd solo pcm close,snd es pcm free,snd pd pcm close,swsusp free,swsusp close,snd wss free,snd wss close,sis free,sis close,free event,close event,sound free dma,sound close dma,rs free,rs close,netdev free,netdev close,generic free,generic close,free generic stateid,close generic stateid,free devices,close devices,bc free,bc close,snd sb free,snd sb close,dscc free,dscc close,free cs,close cs,snd cs free,snd cs close,psc dma free,psc dma close,snd ali free,snd ali close,free one chan,close one chan,free chan,close chan,snd cx free,snd cx close,snd emuk midi free,snd portman midi close,snd line midi free,snd portman midi close,snd emukx midi free,snd portman midi close,snd emuk capture hw free,snd emuk capture mic close,snd emuk capture hw free,snd emuk capture efx close,snd ada dev free,snd ada capture close,snd ada hw free,snd ada capture close,snd ada dev free,snd ada timer close,snd ada dev free,snd ada playback close,snd ada hw free,snd ada timer close,snd ada hw free,snd ada playback close,snd gf pcm playback free,snd gf pcm capture close,snd fm dev free,snd fm playback close,snd fm dev free,snd fm capture close,snd fm hw free,snd fm playback close,snd fm hw free,snd fm capture close,snd ml accr hw free,snd ml accr playback close,snd ml accr hw free,snd ml accr capture close,snd ml accr dev free,snd ml accr playback close,snd ml accr dev free,snd ml accr capture close,snd ml accr mixer free,snd ml accr playback close,snd ml accr mixer free,snd ml accr capture close,snd ice dev free,snd ice playback close,snd ice hw free,snd ice playback close,snd ice dev free,snd ice capture close,snd ice hw free,snd ice capture close,f midi snd free,f midi out close,snd es dev free,snd es playback close,snd es hw free,snd es playback close,snd es hwv free,snd es playback close,snd es pcm free,snd es playback close,snd es dev free,snd es capture close,snd es hw free,snd es capture close,snd es hwv free,snd es capture close,snd es pcm free,snd es capture close,snd ymfpci playback hw free,snd ymfpci playback ch close,snd ymfpci playback hw free,snd ymfpci playback spdif close,snd cmipci playback hw free,snd cmipci playback spdif close,snd usbmidi rawmidi free,snd usbmidi output close,snd usbmidi input close,snd usbmidi rawmidi free,snd uart do close,snd uart dev free,snd uart dev free,snd uart output close,snd uart dev free,snd uart input close,snd csaudio dev free,snd csaudio capture close,snd csaudio hw free,snd csaudio capture close,snd csaudio dev free,snd csaudio playback close,snd csaudio hw free,snd csaudio playback close,snd als hw free,snd als playback close,snd als hw free,snd als capture close,snd als dev free,snd als playback close,snd als dev free,snd als capture close,snd atiixp dev free,snd atiixp capture close,snd atiixp dev free,snd atiixp spdif close,snd atiixp dev free,snd atiixp playback close,cnic cm free mem,cnic cm close req,snd us x yhwdep pcm vm close,snd us x yhwdep pcm private free,snd aw pcm hw free,snd aw pcm capture close,snd aw pcm hw free,snd aw pcm playback close,snd pmac dbdma free,snd pmac capture close,snd pmac dbdma free,snd pmac playback close,snd pmac dev free,snd pmac capture close,snd pmac dev free,snd pmac playback close,snd intelx hw free,snd intelx playback close,snd intelx dev free,snd intelx playback close,snd intelx hw free,snd intelx spdif close,snd intelx dev free,snd intelx spdif close,snd intelx hw free,snd intelx mic close,snd intelx hw free,snd intelx capture close,snd intelx dev free,snd intelx mic close,snd intelx dev free,snd intelx capture close,snd amd dev free,snd amd playback close,snd amd hw free,snd amd playback close,snd amd dev free,snd amd capture close,snd amd hw free,snd amd capture close,snd korg free pcm,snd korg close card,snd korg dev free,snd korg playback close,snd korg dev free,snd korg capture close,snd card saa hw free,snd card saa capture close,snd card saa runtime free,snd card saa capture close,snd pv pcm free substream,snd pv pcm close playback,snd pv pcm close capture,snd pv pcm free substream,snd cx pcm hw free,snd cx pcm capture close,ct pcm hw free,ct pcm capture close,ct pcm hw free,ct pcm playback close,vx pcm hw free,vx pcm capture close,vx pcm hw free,vx pcm playback close,pdacf pcm hw free,pdacf pcm capture close,snd emukx pcm close capture,snd emukx pcm free substream,snd ca pcm close capture,snd ca pcm free substream,snd ca pcm close playback,snd ca pcm free substream,snd riptide hw free,snd riptide playback close,snd riptide dev free,snd riptide playback close,snd riptide hw free,snd riptide capture close,snd riptide dev free,snd riptide capture close,snd sgioaudio dev free,snd sgioaudio pcm close,snd emukx dev free,snd emukx playback close,snd emukx midi free,snd emukx playback close,snd wss dev free,snd wss timer close,snd wss dev free,snd wss playback close,snd wss dev free,snd wss capture close,snd wss timer free,snd wss playback close,snd wss timer free,snd wss capture close,go snd hw free,go snd capture close,snd cmipci hw free,snd cmipci capture close,snd cmipci dev free,snd cmipci capture close,snd cmipci hw free,snd cmipci playback close,snd cmipci dev free,snd cmipci playback close,snd rme card free,snd rme capture close,snd rme card free,snd rme playback close,snd csxx dev free,snd csxx playback close,snd csxx dev free,snd csxx capture close,snd emuk midi free,snd emuk capture close,snd emuk midi free,snd emuk playback close,snd emuk dev free,snd emuk capture close,snd emuk dev free,snd emuk playback close,snd emuk synth free,snd emuk capture close,snd emuk synth free,snd emuk playback close,snd sh dac dev free,snd sh dac pcm close,snd sonicvibes hw free,snd sonicvibes playback close,snd sonicvibes hw free,snd sonicvibes capture close,snd sonicvibes dev free,snd sonicvibes playback close,snd sonicvibes dev free,snd sonicvibes capture close,snd sonicvibes master free,snd sonicvibes playback close,snd sonicvibes master free,snd sonicvibes capture close,snd trident dev free,snd trident playback close,snd trident hw free,snd trident playback close,snd trident dev free,snd trident foldback close,snd trident hw free,snd trident foldback close,snd trident dev free,snd trident spdif close,snd trident hw free,snd trident spdif close,snd trident dev free,snd trident capture close,snd trident hw free,snd trident capture close,snd atc dev free,snd atc pcm close,snd usb audio free,snd usb capture close,snd usb mixer free,snd usb capture close,snd usb hw free,snd usb capture close,snd usb audio free,snd usb playback close,snd usb pcm close,snd usb audio free,snd usb mixer free,snd usb playback close,snd usb pcm close,snd usb mixer free,snd usb hw free,snd usb playback close,snd usb hw free,snd usb pcm close,snd vortex dev free,snd vortex pcm close,snd ensoniq dev free,snd ensoniq playback close,snd ensoniq hw free,snd ensoniq playback close,snd ensoniq dev free,snd ensoniq capture close,snd ensoniq hw free,snd ensoniq capture close,snd ymfpci voice free,snd ymfpci playback close,snd ymfpci dev free,snd ymfpci playback close,snd ymfpci voice free,snd ymfpci capture close,snd ymfpci dev free,snd ymfpci capture close,snd sb hw free,snd sb playback close,snd sb hw free,snd sb capture close,snd sb csp free,snd sb playback close,snd sb csp free,snd sb capture close,snd card asihpi runtime free,snd card asihpi playback close,snd card asihpi runtime free,snd card asihpi capture close,snd msnd dev free,snd msnd playback close,snd msnd dev free,snd msnd mpu close,snd msnd dev free,snd msnd capture close,snd viaxx dev free,snd viaxx pcm close,snd viaxx hw free,snd viaxx pcm close,snd cs sbus free,snd cs timer close,snd cs dev free,snd cs timer close,snd cs hw free,snd cs timer close,snd cs ebus free,snd cs timer close,snd cs sbus free,snd cs playback close,snd cs sbus free,snd cs capture close,snd cs dev free,snd cs playback close,snd cs dev free,snd cs capture close,snd cs hw free,snd cs playback close,snd cs ebus free,snd cs playback close,snd cs hw free,snd cs capture close,snd cs ebus free,snd cs capture close,snd esxx dev free,snd esxx playback close,snd esxx hwv free,snd esxx playback close,snd esxx dev free,snd esxx capture close,snd esxx hwv free,snd esxx capture close,snd solo hw free,snd solo pcm close,snd intelxm dev free,snd intelxm capture close,snd intelxm hw free,snd intelxm capture close,snd intelxm dev free,snd intelxm playback close,snd intelxm hw free,snd intelxm playback close,snd ali hw free,snd ali playback close,snd ali pcm free,snd ali playback close,snd ali dev free,snd ali playback close,snd line pcm free,snd line playback close,snd line pcm free,snd line capture close,snd line midi free,snd line playback close,snd line midi free,snd line capture close
